Dataset,0 states,10 states,25 states,50 states,75 states,100 states,
OR10x100-0.75_5 SAM-0.1,7478769,81604003,191838162,370115378,548091238,725434763,
OR10x100-0.75_5 SAM-0.2,7478769,78329448,184254126,359602045,537020164,714438123,
OR10x100-0.75_6 SAM-0.01,7556751,83053539,196278513,384942467,573287329,762253818,
OR10x100-0.75_6 SAM-0.02,7556751,82925882,195700228,383652014,571851751,759824713,
OR10x100-0.75_6 SAM-0.05,7556751,83195563,196639594,386610483,576046430,766882617,
OR10x100-0.75_6 SAM-0.1,7556751,83553925,198749082,387430909,574905199,761252570,
OR10x100-0.75_6 SAM-0.2,7556751,82168336,194422835,376929881,554811378,727997767,
OR10x100-0.75_7 SAM-0.01,6934371,76268073,180298343,353660604,526831446,699590433,
OR10x100-0.75_7 SAM-0.02,6934371,76311093,180483453,354397920,527532553,700723457,
OR10x100-0.75_7 SAM-0.05,6934371,76693487,181183376,354696485,528367945,700240964,
OR10x100-0.75_7 SAM-0.1,6934371,76763961,180402526,351721803,525581262,705057933,
OR10x100-0.75_7 SAM-0.2,6934371,76114211,182088586,358166723,531911296,703230403,
OR10x100-0.75_8 SAM-0.01,7305093,80291658,189799349,372132700,554773721,737484979,
OR10x100-0.75_8 SAM-0.02,7305093,80499880,190498956,373585352,556936944,739711007,
OR10x100-0.75_8 SAM-0.05,7305093,80195158,189378569,371342969,555472298,738500528,
OR10x100-0.75_8 SAM-0.1,7305093,79784520,188436546,372600496,558504103,744977257,
OR10x100-0.75_8 SAM-0.2,7305093,79291383,188521009,367165782,545126122,721024130,
OR10x100-0.75_9 SAM-0.01,7405215,81546390,192813739,378205846,563969734,749588314,
OR10x100-0.75_9 SAM-0.02,7405215,81476462,192588066,378855261,564765803,750217800,
OR10x100-0.75_9 SAM-0.05,7405215,81422169,191841502,378011326,565532641,754036346,
OR10x100-0.75_9 SAM-0.1,7405215,80825627,189478222,368963091,552237843,737419593,
OR10x100-0.75_9 SAM-0.2,7405215,80858909,190727456,369880103,551370041,733605621,
OR30x100-0.25_1 SAM-0.01,2699358,29687005,70191529,137774216,205487725,273471842,
OR30x100-0.25_1 SAM-0.02,2699358,29702444,70268015,137971147,205397065,272700290,
OR30x100-0.25_1 SAM-0.05,2699358,29502620,69475293,135491089,201383026,266403778,
OR30x100-0.25_1 SAM-0.1,2699358,28900744,68183405,133807293,197430527,262757855,
OR30x100-0.25_1 SAM-0.2,2699358,27977949,66054651,130252336,195671607,261708983,
OR30x100-0.25_10 SAM-0.01,2580909,28330927,66880018,131064080,195086105,259394627,
OR30x100-0.25_10 SAM-0.02,2580909,28296588,66970797,131601188,196119016,260486568,
OR30x100-0.25_10 SAM-0.05,2580909,28363101,66792296,130254613,193966818,257713629,
OR30x100-0.25_10 SAM-0.1,2580909,27917624,65575747,128406078,189417036,252048320,
OR30x100-0.25_10 SAM-0.2,2580909,27277287,64215168,125523350,185031654,245854446,
OR30x100-0.25_2 SAM-0.01,2671068,29386543,69339436,135615088,201773540,267897648,
OR30x100-0.25_2 SAM-0.02,2671068,29263208,69035236,135193581,201693061,267776089,
OR30x100-0.25_2 SAM-0.05,2671068,29072771,68921329,134308414,200000353,265622485,
OR30x100-0.25_2 SAM-0.1,2671068,29398148,69068326,135740203,203283379,270403478,
OR30x100-0.25_2 SAM-0.2,2671068,28776299,67617771,131387170,195246454,259082788,
OR30x100-0.25_3 SAM-0.01,2552742,28079274,66424043,130247324,193934303,257627743,
OR30x100-0.25_3 SAM-0.02,2552742,28105892,66295379,129872155,193397150,256958513,
OR30x100-0.25_3 SAM-0.05,2552742,27962935,65680138,128266234,190791615,252451973,
OR30x100-0.25_3 SAM-0.1,2552742,27482998,64417453,126695286,189294814,251166269,
OR30x100-0.25_3 SAM-0.2,2552742,27515751,65057349,129582552,194546707,258502364,
OR30x100-0.25_4 SAM-0.01,2640072,29012023,68446139,133863935,199316495,264847759,
OR30x100-0.25_4 SAM-0.02,2640072,28883107,68252024,133930985,199204777,264392861,
OR30x100-0.25_4 SAM-0.05,2640072,28906097,67998870,132711891,197687627,262541067,
OR30x100-0.25_4 SAM-0.1,2640072,28697848,67120709,131550315,196659637,261808597,
OR30x100-0.25_4 SAM-0.2,2640072,28366552,67611684,133023806,198908963,264871671,
OR30x100-0.25_5 SAM-0.01,2686812,29565206,69878192,136993583,204052954,271314110,
OR30x100-0.25_5 SAM-0.02,2686812,29499178,69571215,136202790,202918536,269440072,
OR30x100-0.25_5 SAM-0.05,2686812,29540784,70281785,137503996,204503306,272050322,
OR30x100-0.25_5 SAM-0.1,2686812,29310944,69544246,136744762,203471306,271118321,
OR30x100-0.25_5 SAM-0.2,2686812,28519668,67277714,130663865,194068932,258460792,
OR30x100-0.25_6 SAM-0.01,2727648,30016073,71072079,139559153,208278018,277074024,
OR30x100-0.25_6 SAM-0.02,2727648,30011475,71089351,139419118,207958447,276497719,
OR30x100-0.25_6 SAM-0.05,2727648,30005503,70806970,138513612,206830554,274819283,
OR30x100-0.25_6 SAM-0.1,2727648,29513186,69399822,135534906,202039026,268396431,
OR30x100-0.25_6 SAM-0.2,2727648,29068277,68842199,134131871,199370584,263902918,
OR30x100-0.25_7 SAM-0.01,2681277,29603988,70065954,137524190,204935394,272167507,
OR30x100-0.25_7 SAM-0.02,2681277,29519269,69790461,137679115,205474630,273326681,
OR30x100-0.25_7 SAM-0.05,2681277,29226736,69080855,135374240,201360312,267121016,
OR30x100-0.25_7 SAM-0.1,2681277,29183675,68178307,133374185,197271247,261269028,
OR30x100-0.25_7 SAM-0.2,2681277,28115736,64783512,125578840,186528275,248522801,
OR30x100-0.25_8 SAM-0.01,2631831,28972462,68366310,133665007,199127418,264403676,
OR30x100-0.25_8 SAM-0.02,2631831,28899296,68238531,133751506,199485751,265456484,
OR30x100-0.25_8 SAM-0.05,2631831,28839391,67918957,132931018,197779787,263204320,
OR30x100-0.25_8 SAM-0.1,2631831,28781671,67032434,129851021,193370076,257220322,
OR30x100-0.25_8 SAM-0.2,2631831,27895914,65978349,128862143,191372407,254071263,
OR30x100-0.25_9 SAM-0.01,2770575,30473798,72103225,141563368,210995647,280307663,
OR30x100-0.25_9 SAM-0.02,2770575,30472342,72018198,141579472,211225879,281426350,
OR30x100-0.25_9 SAM-0.05,2770575,30451476,72032863,142132962,212147536,282660968,
OR30x100-0.25_9 SAM-0.1,2770575,30614393,72214976,143291000,214514235,284432349,
OR30x100-0.25_9 SAM-0.2,2770575,30497256,72279664,141146039,208497227,276850995,
OR30x100-0.50_1 SAM-0.01,5014341,55059043,129891484,254621859,379817047,505328790,
OR30x100-0.50_1 SAM-0.02,5014341,55025745,130037468,255079511,379914843,505524676,
OR30x100-0.50_1 SAM-0.05,5014341,55200665,130045508,254327181,378085224,501037881,
OR30x100-0.50_1 SAM-0.1,5014341,54810897,128082790,247397275,366761689,486607011,
OR30x100-0.50_1 SAM-0.2,5014341,53103991,124497893,244395075,363760632,483039836,
OR30x100-0.50_10 SAM-0.01,5129100,56432505,133285392,261336106,389452311,517740755,
OR30x100-0.50_10 SAM-0.02,5129100,56319582,133193035,261922590,390722760,519804208,
OR30x100-0.50_10 SAM-0.05,5129100,56553389,133393192,260860988,387878552,514958532,
OR30x100-0.50_10 SAM-0.1,5129100,55894931,131124435,257501379,385200284,509600683,
OR30x100-0.50_10 SAM-0.2,5129100,54340895,127494985,248816849,373221641,498994395,
OR30x100-0.50_2 SAM-0.01,5080884,55880593,131916354,258399517,384814629,510944069,
OR30x100-0.50_2 SAM-0.02,5080884,55851997,131929011,258863825,386157818,513121163,
OR30x100-0.50_2 SAM-0.05,5080884,56032068,132563313,259994626,389576199,518378222,
OR30x100-0.50_2 SAM-0.1,5080884,55219738,130832671,256288586,383709957,510819562,
OR30x100-0.50_2 SAM-0.2,5080884,54329813,128861621,251708515,376549739,501714595,
OR30x100-0.50_3 SAM-0.01,5120490,56359162,133209667,261059645,389160758,517294673,
OR30x100-0.50_3 SAM-0.02,5120490,56327750,133206447,261302875,389590832,518107899,
OR30x100-0.50_3 SAM-0.05,5120490,56191356,131898526,257370887,383497757,509466119,
OR30x100-0.50_3 SAM-0.1,5120490,55687231,129258255,253543160,379215824,501564401,
OR30x100-0.50_3 SAM-0.2,5120490,54500655,127152765,245879703,366241176,486490684,
OR30x100-0.50_4 SAM-0.01,5048043,55545398,131425680,257855878,383677422,509463087,
OR30x100-0.50_4 SAM-0.02,5048043,55551193,131101828,257035631,383010059,508533213,
OR30x100-0.50_4 SAM-0.05,5048043,55410263,130259401,255738434,381615277,506955586,
OR30x100-0.50_4 SAM-0.1,5048043,55470907,131141453,256140740,380769601,506026588,
OR30x100-0.50_4 SAM-0.2,5048043,54645037,130837025,259260076,389621025,521931872,
OR30x100-0.50_5 SAM-0.01,5029347,55372734,130893271,256920618,383108064,509515194,
OR30x100-0.50_5 SAM-0.02,5029347,55341751,130874369,256907410,383053932,508914850,
OR30x100-0.50_5 SAM-0.05,5029347,55203005,129574087,252558585,376117886,499628724,
OR30x100-0.50_5 SAM-0.1,5029347,54787397,128993346,253503460,376220300,498455644,
OR30x100-0.50_5 SAM-0.2,5029347,54670856,128378279,253767302,378900886,504072553,
OR30x100-0.50_6 SAM-0.01,5050134,55529277,131259069,257319850,383113838,508956778,
OR30x100-0.50_6 SAM-0.02,5050134,55502829,131056347,256660429,382109766,507409615,
OR30x100-0.50_6 SAM-0.05,5050134,55277170,130128758,253153031,376170243,499928119,
OR30x100-0.50_6 SAM-0.1,5050134,54960077,130605099,256393907,384016407,514288023,
OR30x100-0.50_6 SAM-0.2,5050134,54304205,127312253,244880677,367744242,490042685,
OR30x100-0.50_7 SAM-0.01,5050626,55720155,131774185,258214581,384828835,511230560,
OR30x100-0.50_7 SAM-0.02,5050626,55716587,131614921,258116218,384585270,511248629,
OR30x100-0.50_7 SAM-0.05,5050626,56256041,133137317,261094430,389972369,518291296,
OR30x100-0.50_7 SAM-0.1,5050626,55199029,130767667,257847613,385670271,512916002,
OR30x100-0.50_7 SAM-0.2,5050626,55641136,131236406,258341701,387646510,514995795,
OR30x100-0.50_8 SAM-0.01,5254437,57742714,136397378,267321415,398091224,528695304,
OR30x100-0.50_8 SAM-0.02,5254437,57682762,136399810,267321518,398200657,528643180,
OR30x100-0.50_8 SAM-0.05,5254437,57316949,135426726,265396828,394148834,520681361,
OR30x100-0.50_8 SAM-0.1,5254437,57377554,135365634,265909188,397312008,527810188,
OR30x100-0.50_8 SAM-0.2,5254437,56304672,131723945,255588469,376314267,500064715,
OR30x100-0.50_9 SAM-0.01,5194290,56999850,134649364,264079920,393276377,522230403,
OR30x100-0.50_9 SAM-0.02,5194290,57068674,134697489,263738439,392525380,521197569,
OR30x100-0.50_9 SAM-0.05,5194290,57153782,135045237,263634652,391342034,518684510,
OR30x100-0.50_9 SAM-0.1,5194290,56850047,133077736,261191822,390551114,520648612,
OR30x100-0.50_9 SAM-0.2,5194290,55368017,129728682,251752091,374916736,499179694,
OR30x100-0.75_1 SAM-0.01,7071762,77864424,184162853,361344304,538697991,716206864,
OR30x100-0.75_1 SAM-0.02,7071762,77780937,183865316,359936517,536422253,713362025,
OR30x100-0.75_1 SAM-0.05,7071762,77932653,184544801,362035765,538160553,714949227,
OR30x100-0.75_1 SAM-0.1,7071762,77557884,183180055,361505598,542978957,725238465,
OR30x100-0.75_1 SAM-0.2,7071762,77189609,183136611,365412793,547980898,727926255,
OR30x100-0.75_10 SAM-0.01,7454169,82046950,193942068,380363268,566833655,753187094,
OR30x100-0.75_10 SAM-0.02,7454169,82039090,193674521,379244483,565061336,750973151,
OR30x100-0.75_10 SAM-0.05,7454169,82152178,194409918,381942313,567551122,753269637,
OR30x100-0.75_10 SAM-0.1,7454169,81652061,191394244,375653290,560214681,745543660,
OR30x100-0.75_10 SAM-0.2,7454169,81055308,190739629,374454648,559014002,746414938,
OR30x100-0.75_2 SAM-0.01,7383321,81136395,191772190,376249616,560899418,745878444,
OR30x100-0.75_2 SAM-0.02,7383321,81291938,192327355,378506509,564486422,750706863,
OR30x100-0.75_2 SAM-0.05,7383321,81372473,192068917,376437876,560256990,743870771,
OR30x100-0.75_2 SAM-0.1,7383321,81623294,192015555,377950505,559784309,736353533,
OR30x100-0.75_2 SAM-0.2,7383321,80714395,190309570,374690313,555162083,735799652,
OR30x100-0.75_3 SAM-0.01,7140396,78542261,185724548,364126816,542832956,721563986,
OR30x100-0.75_3 SAM-0.02,7140396,78557402,185494843,364189312,542765657,721672711,
OR30x100-0.75_3 SAM-0.05,7140396,78423722,185668162,365285192,542885543,719523840,
OR30x100-0.75_3 SAM-0.1,7140396,79066591,186646469,367894568,551410173,739124051,
OR30x100-0.75_3 SAM-0.2,7140396,79382966,190184871,375705978,559030748,745917895,
OR30x100-0.75_4 SAM-0.01,7475448,82197369,194180821,380602986,567401043,754290941,
OR30x100-0.75_4 SAM-0.02,7475448,82254067,194537443,381398935,567767230,754236685,
OR30x100-0.75_4 SAM-0.05,7475448,82320661,195051666,382738439,569113226,755796580,
OR30x100-0.75_4 SAM-0.1,7475448,82605777,195632944,382650463,565436261,746959037,
OR30x100-0.75_4 SAM-0.2,7475448,82216491,193344451,375989778,562929551,755019103,
OR30x100-0.75_5 SAM-0.01,7242732,79709748,188300048,369185743,550012621,730351413,
OR30x100-0.75_5 SAM-0.02,7242732,79599720,188134896,368707635,549179086,730152794,
OR30x100-0.75_5 SAM-0.05,7242732,79639308,187773733,365581153,543655008,720892472,
OR30x100-0.75_5 SAM-0.1,7242732,78843278,184564824,360488492,533731160,708426673,
OR30x100-0.75_5 SAM-0.2,7242732,76651868,177865650,346070912,518810435,686547941,
OR30x100-0.75_6 SAM-0.01,7381353,81139477,191849980,376010786,559813734,743601970,
OR30x100-0.75_6 SAM-0.02,7381353,81045805,191312630,375179896,559198137,743562808,
OR30x100-0.75_6 SAM-0.05,7381353,80634206,190274750,372778941,556484234,738305614,
OR30x100-0.75_6 SAM-0.1,7381353,80496845,190104095,368813677,547839726,725536027,
OR30x100-0.75_6 SAM-0.2,7381353,78083376,184217041,353787197,529390674,708178065,
OR30x100-0.75_7 SAM-0.01,7150236,78668960,186014310,364926800,543667813,722282442,
OR30x100-0.75_7 SAM-0.02,7150236,78731178,186162027,365674812,545678774,725448913,
OR30x100-0.75_7 SAM-0.05,7150236,78927679,186894151,366658690,544565763,721666257,
OR30x100-0.75_7 SAM-0.1,7150236,79281977,186531701,365174808,544046798,721688684,
OR30x100-0.75_7 SAM-0.2,7150236,78925465,186165261,366402157,546836821,728733079,
OR30x100-0.75_8 SAM-0.01,7264872,79909935,189016006,370665012,552084003,733298833,
OR30x100-0.75_8 SAM-0.02,7264872,79861154,188807834,369794240,550586567,730835364,
OR30x100-0.75_8 SAM-0.05,7264872,80121886,190354074,374567205,558768413,742970382,
OR30x100-0.75_8 SAM-0.1,7264872,79216659,187953461,369488908,551295137,736090343,
OR30x100-0.75_8 SAM-0.2,7264872,80291203,193324663,379561629,569907831,761067259,
OR30x100-0.75_9 SAM-0.01,7253925,79809201,188490093,369528911,550365593,731010972,
OR30x100-0.75_9 SAM-0.02,7253925,79647951,188132349,368507906,548675845,728355380,
OR30x100-0.75_9 SAM-0.05,7253925,79479687,187934906,368527309,549756317,729853399,
OR30x100-0.75_9 SAM-0.1,7253925,79631359,188282940,369194313,551762525,730408724,
OR30x100-0.75_9 SAM-0.2,7253925,79517179,187282651,367922015,544540437,718547443,
OR5x100-0.25_1 SAM-0.01,2998863,32939171,77757416,152752166,227713579,302850314,
OR5x100-0.25_1 SAM-0.02,2998863,32821440,77541184,152413231,227296574,302426478,
OR5x100-0.25_1 SAM-0.05,2998863,33098483,78857803,155459878,233754591,311477600,
OR5x100-0.25_1 SAM-0.1,2998863,32819219,79103918,159026997,238008299,318890576,
OR5x100-0.25_1 SAM-0.2,2998863,31792534,75667725,150669330,224083685,298265765,
OR5x100-0.25_10 SAM-0.01,3002553,33016007,78101219,153167961,228850071,304716243,
OR5x100-0.25_10 SAM-0.02,3002553,33042969,77845533,152208261,227510654,302952276,
