Dataset,0 states,10 states,25 states,50 states,75 states,100 states,
OR5x100-0.50_5 SAM-0.05,5192814,57040634,135332108,268091072,402895303,538300265,
OR5x100-0.50_5 SAM-0.1,5192814,57215356,135464889,264832253,398220993,531996117,
OR5x100-0.50_5 SAM-0.2,5192814,56995072,135129421,266459211,401973251,533751696,
OR5x100-0.50_6 SAM-0.01,5280021,58066889,137087042,268480158,399842060,532097522,
OR5x100-0.50_6 SAM-0.02,5280021,58036722,136972571,267798897,398695901,529601907,
OR5x100-0.50_6 SAM-0.05,5280021,57320496,135869338,268949870,402304993,537510605,
OR5x100-0.50_6 SAM-0.1,5280021,57144923,134963057,266941550,397456990,526271503,
OR5x100-0.50_6 SAM-0.2,5280021,57044933,135030349,268583937,403835817,546412843,
OR5x100-0.50_7 SAM-0.01,5167107,56813153,134230414,263662043,392894376,521196482,
OR5x100-0.50_7 SAM-0.02,5167107,56862928,134300405,263448464,392685102,521944052,
OR5x100-0.50_7 SAM-0.05,5167107,56658293,133173556,260596750,390349728,521372791,
OR5x100-0.50_7 SAM-0.1,5167107,56936363,135932854,268174336,398842781,527899500,
OR5x100-0.50_7 SAM-0.2,5167107,55809347,129425314,252709484,376264923,501744003,
OR5x100-0.50_8 SAM-0.01,5537460,60925289,143925514,281897567,419923084,557913994,
OR5x100-0.50_8 SAM-0.02,5537460,60952751,144376899,284318947,424984508,565990784,
OR5x100-0.50_8 SAM-0.05,5537460,61325318,145005578,285996887,428255449,572226408,
OR5x100-0.50_8 SAM-0.1,5537460,62527113,150486531,296384301,439504551,581953556,
OR5x100-0.50_8 SAM-0.2,5537460,60818958,143585655,278003485,411737786,550818434,
OR5x100-0.50_9 SAM-0.01,5343243,58733771,138810352,272059539,404658204,537362389,
OR5x100-0.50_9 SAM-0.02,5343243,58610126,138590119,271944933,405365721,538195966,
OR5x100-0.50_9 SAM-0.05,5343243,58567011,138453796,270830098,405896427,540475244,
OR5x100-0.50_9 SAM-0.1,5343243,59163243,139848665,274486368,408030728,538442536,
OR5x100-0.50_9 SAM-0.2,5343243,58472574,139316556,270182766,400420745,535525833,
OR5x100-0.75_1 SAM-0.01,7358106,81027232,191732938,376103226,559814098,742782860,
OR5x100-0.75_1 SAM-0.02,7358106,81164628,191864001,375883541,559920437,744012008,
OR5x100-0.75_1 SAM-0.05,7358106,81539986,193322737,378920251,562125666,744462914,
OR5x100-0.75_1 SAM-0.1,7358106,81354829,191189919,372271347,550102686,726936473,
OR5x100-0.75_1 SAM-0.2,7358106,80952636,187322886,367257155,546541749,724836393,
OR5x100-0.75_10 SAM-0.01,7375695,81121906,191812727,376238184,560636666,745166527,
OR5x100-0.75_10 SAM-0.02,7375695,81030708,191774935,377060595,562891509,748825827,
OR5x100-0.75_10 SAM-0.05,7375695,81288360,193590649,379788917,562674871,746495756,
